gene_id	cluster
YAL025C	1
YBL024W	1
YBR069C	1
YBR093C	1
YBR142W	1
YBR238C	1
YBR247C	1
YBR266C	1
YCL054W	1
YCR016W	1
YCR072C	1
YDL062W	1
YDL148C	1
YDL151C	1
YDL167C	1
YDR060W	1
YDR083W	1
YDR161W	1
YDR165W	1
YDR324C	1
YDR398W	1
YDR399W	1
YGL029W	1
YGR128C	1
YGR176W	1
YGR272C	1
YHR052W	1
YHR088W	1
YHR169W	1
YHR196W	1
YHR197W	1
YJL069C	1
YJL122W	1
YJL148W	1
YJR041C	1
YKL009W	1
YKL082C	1
YKL099C	1
YKR024C	1
YKR056W	1
YKR081C	1
YLR002C	1
YLR003C	1
YLR009W	1
YLR063W	1
YLR083C	1
YLR129W	1
YLR222C	1
YLR276C	1
YLR372W	1
YLR401C	1
YLR435W	1
YML093W	1
YMR093W	1
YMR239C	1
YMR309C	1
YNL002C	1
YNL062C	1
YNL308C	1
YNL313C	1
YNR053C	1
YOL077C	1
YOL124C	1
YOR224C	1
YOR287C	1
YOR294W	1
YOR315W	1
YPL044C	1
YPL093W	1
YPL126W	1
YPL183C	1
YPL245W	1
YPR142C	1
YPR144C	1
YPR190C	1
YAR071W	2
YBL028C	2
YBL039C	2
YBR084W	2
YBR121C	2
YCL059C	2
YDL063C	2
YDL153C	2
YDR037W	2
YDR087C	2
YDR091C	2
YDR299W	2
YDR321W	2
YDR465C	2
YER006W	2
YER043C	2
YER126C	2
YGL099W	2
YGL120C	2
YGR103W	2
YGR123C	2
YGR200C	2
YGR264C	2
YGR280C	2
YGR285C	2
YHR020W	2
YHR089C	2
YHR170W	2
YHR215W	2
YIR026C	2
YJL109C	2
YJR071W	2
YKL078W	2
YKL172W	2
YKR092C	2
YLL008W	2
YLL011W	2
YLR409C	2
YML056C	2
YMR128W	2
YMR229C	2
YMR246W	2
YNL061W	2
YNL132W	2
YNL174W	2
YOR243C	2
YOR272W	2
YOR309C	2
YPL081W	2
YPL211W	2
YPL226W	2
YPL263C	2
YPL266W	2
YPR010C	2
YPR110C	2
YPR112C	2
YPR163C	2
YAR075W	3
YBL072C	3
YBR048W	3
YCR031C	3
YDL014W	3
YDL083C	3
YDR025W	3
YDR064W	3
YDR417C	3
YDR447C	3
YER074W	3
YER102W	3
YFR031C-A	3
YGL031C	3
YGL076C	3
YGL123W	3
YGL135W	3
YGL147C	3
YGR034W	3
YGR148C	3
YGR214W	3
YGR234W	3
YHL033C	3
YHR128W	3
YHR203C	3
YIL018W	3
YIL052C	3
YIL133C	3
YJL177W	3
YJL190C	3
YJR123W	3
YJR145C	3
YKL006W	3
YKL081W	3
YLL044W	3
YLL045C	3
YLR048W	3
YLR061W	3
YLR062C	3
YLR325C	3
YLR339C	3
YLR340W	3
YLR448W	3
YML022W	3
YML024W	3
YML026C	3
YML073C	3
YMR116C	3
YMR142C	3
YMR143W	3
YMR242C	3
YNL096C	3
YNL112W	3
YNL119W	3
YNL178W	3
YNL209W	3
YNL301C	3
YOL039W	3
YOR293W	3
YOR369C	3
YPL079W	3
YPL090C	3
YPR102C	3
YBL076C	4
YBR092C	4
YEL040W	4
YJL157C	4
YPR119W	4
